,irr_word,irr_freq,irr_doc_freq
2543,brown,31,20
2544,neighborhood,31,20
2545,duration,31,19
2546,extraordinary,31,19
2547,suggestions,31,19
2548,injustice,31,19
2549,emergencies,31,19
2550,neighbors,31,19
2551,closer,31,19
2552,aggregated,31,18
2553,refined,31,18
2554,reusing,31,18
2555,analytical,31,18
2556,schedules,31,18
2557,admired,31,17
2558,audiences,31,17
2559,marshall,31,17
2560,winners,31,17
2561,peoples,31,16
2562,investigating,31,16
2563,filtration,31,15
2564,observed,31,15
2565,welcoming,31,15
2566,paul,31,14
2567,discounts,31,14
2568,customs,31,13
2569,pandemics,31,13
2570,assumed,31,13
2571,refugees,31,12
2572,taste,31,12
2573,gardens,31,11
2574,infectious,31,11
2575,charlotte,31,9
2576,defra,31,9
2577,tourism,31,7
2578,eggs,31,6
2579,skus,31,6
2580,programmes,31,5
2581,lymphoma,31,2
2582,morenci,31,1
2583,agriscience,31,0
2584,al,30,66
2585,en,30,66
2586,cop,30,66
2587,pose,30,66
2588,intern,30,66
2589,apac,30,60
2590,recommend,30,58
2591,idea,30,54
2592,continual,30,52
2593,text,30,52
2594,coordinate,30,40
2595,preference,30,39
2596,scholarship,30,32
2597,mutual,30,28
2598,affiliate,30,27
2599,washing,30,27
2600,authorized,30,26
2601,ambassador,30,25
2602,sought,30,24
2603,scored,30,24
2604,holiday,30,24
2605,observation,30,24
2606,shelter,30,23
2607,enabler,30,22
2608,legally,30,20
2609,stockholder,30,20
2610,mines,30,20
2611,personally,30,19
2612,streamlined,30,19
2613,death,30,19
2614,edition,30,19
2615,visitors,30,18
2616,doubling,30,18
2617,fighting,30,18
2618,widespread,30,18
2619,nomination,30,17
2620,safeguards,30,17
2621,societies,30,17
2622,systematically,30,17
2623,tips,30,16
2624,indoor,30,16
2625,freely,30,15
2626,sentiment,30,14
2627,patents,30,14
2628,really,30,14
2629,lifestyles,30,13
2630,origins,30,13
2631,smelters,30,11
2632,containment,30,11
2633,honesty,30,11
2634,commercialize,30,10
2635,grantees,30,10
2636,disorders,30,10
2637,accommodation,30,10
2638,therapeutics,30,8
2639,merchandising,30,8
2640,cardiovascular,30,7
2641,bipoc,30,6
2642,leap,30,6
2643,medicare,30,4
2644,fragrance,30,4
2645,imprint,30,2
2646,clmrs,30,2
2647,msmes,30,1
2648,fistula,30,1
2649,ease,29,66
2650,earning,29,61
2651,self,29,59
2652,compare,29,56
2653,revise,29,51
2654,lists,29,45
2655,rivers,29,42
2656,coach,29,39
2657,craft,29,37
2658,module,29,34
2659,submission,29,30
2660,download,29,29
2661,error,29,28
2662,speaker,29,26
2663,intervention,29,25
2664,qualify,29,25
2665,simplify,29,24
2666,storms,29,23
2667,founder,29,23
2668,mobilize,29,23
2669,openly,29,22
2670,checks,29,21
2671,accomplishments,29,21
2672,relates,29,20
2673,shifted,29,19
2674,possibilities,29,19
2675,evolves,29,19
2676,returning,29,19
2677,routes,29,19
2678,geopolitical,29,19
2679,understood,29,18
2680,tantalum,29,18
2681,asking,29,18
2682,embraces,29,18
2683,keeps,29,18
2684,steady,29,18
2685,expands,29,18
2686,scarce,29,17
2687,winter,29,17
2688,disruptive,29,17
2689,informing,29,16
2690,anywhere,29,16
2691,consolidation,29,16
2692,secretary,29,15
2693,coalitions,29,15
2694,speaking,29,14
2695,pertaining,29,14
2696,feedstocks,29,13
2697,headcount,29,13
2698,learners,29,13
2699,exposures,29,13
2700,perceptions,29,13
2701,vocs,29,12
2702,slightly,29,12
2703,rainfall,29,10
2704,hse,29,10
2705,digitalization,29,10
2706,charity,29,9
2707,cosmetic,29,9
2708,textiles,29,8
2709,caribbean,29,8
2710,rwanda,29,8
2711,mmt,29,6
2712,pouches,29,5
2713,oncology,29,4
2714,finishing,29,4
2715,inroads,29,4
2716,biosciences,29,4
2717,metres,29,2
2718,ghd,29,2
2719,molybdenum,29,1
2720,inability,28,66
2721,lean,28,63
2722,stewards,28,54
2723,comprise,28,53
2724,door,28,43
2725,rich,28,41
2726,guarantee,28,39
2727,explain,28,38
2728,placing,28,37
2729,article,28,31
2730,born,28,28
2731,posted,28,28
2732,showcase,28,27
2733,expressions,28,25
2734,shortage,28,25
2735,tank,28,24
2736,fear,28,23
2737,audience,28,23
2738,dental,28,23
2739,caregiver,28,22
2740,gained,28,20
2741,combining,28,20
2742,herein,28,19
2743,sixth,28,19
2744,celebration,28,19
2745,looks,28,19
2746,matches,28,19
2747,strengthens,28,19
2748,click,28,19
2749,playbook,28,18
2750,reinforces,28,18
2751,physician,28,18
2752,concerned,28,18
2753,speakers,28,18
2754,mostly,28,17
2755,accommodate,28,17
2756,parks,28,17
2757,standardization,28,17
2758,prohibits,28,17
2759,substantive,28,17
2760,opinions,28,16
2761,intersection,28,15
2762,diversification,28,15
2763,genetic,28,15
2764,illinois,28,15
2765,charities,28,14
2766,groundwork,28,14
2767,neighborhoods,28,14
2768,david,28,14
2769,digitally,28,14
2770,blockchain,28,13
2771,iconic,28,13
2772,formalized,28,13
2773,permitting,28,13
2774,taskforce,28,13
2775,bsr,28,12
2776,safest,28,12
2777,chilled,28,12
2778,respiratory,28,11
2779,refiners,28,10
2780,sorting,28,10
2781,homelessness,28,10
2782,solidarity,28,8
2783,sedex,28,8
2784,unintended,28,7
2785,vegetation,28,7
2786,beef,28,6
2787,mozambique,28,5
2788,respirators,28,4
2789,ipad,28,3
2790,airplanes,28,2
2791,htus,28,1
2792,homesense,28,1
2793,ridesharing,28,1
2794,priceline,28,1
2795,tens,27,65
2796,actors,27,65
2797,minor,27,56
2798,mac,27,55
2799,ml,27,54
2800,organize,27,46
2801,interaction,27,42
2802,league,27,41
2803,constant,27,38
2804,oec,27,36
2805,shall,27,25
2806,trademark,27,22
2807,perfect,27,22
2808,analyst,27,22
2809,game,27,22
2810,capturing,27,20
2811,knowing,27,20
2812,collaborates,27,20
2813,upskilling,27,19
2814,recipients,27,19
2815,developer,27,19
2816,declared,27,19
2817,contracting,27,19
2818,amended,27,18
2819,motivated,27,18
2820,categorized,27,17
2821,kept,27,17
2822,runs,27,17
2823,unsafe,27,16
2824,rankings,27,16
2825,pools,27,16
2826,notable,27,16
2827,paramount,27,16
2828,broadening,27,16
2829,consequently,27,15
2830,subjects,27,15
2831,grows,27,15
2832,celebrates,27,15
2833,pursuant,27,15
2834,attendance,27,15
2835,controller,27,15
2836,rebuilding,27,15
2837,bloomberg,27,15
2838,inequalities,27,15
2839,varies,27,14
2840,fibers,27,14
2841,undertook,27,14
2842,underpinned,27,14
2843,composted,27,13
2844,dues,27,13
2845,samples,27,13
2846,boston,27,12
2847,unknown,27,12
2848,launches,27,11
2849,grocery,27,10
2850,stopped,27,10
2851,divisional,27,9
2852,dot,27,9
2853,medications,27,8
2854,immune,27,7
2855,fundraising,27,7
2856,prequalification,27,7
2857,dcs,27,6
2858,determinants,27,6
2859,nbs,27,6
2860,grind,27,6
2861,christine,27,5
2862,courtesy,27,4
2863,aerosol,27,4
2864,pfas,27,4
2865,alberta,27,3
2866,hria,27,3
2867,verde,27,2
2868,enzymes,27,2
2869,iluma,27,1
2870,ill,26,66
2871,consist,26,62
2872,nr,26,58
2873,selves,26,57
2874,disrupt,26,51
2875,attend,26,42
2876,divert,26,41
2877,gd,26,41
2878,zone,26,35
2879,joy,26,35
2880,cautionary,26,33
2881,winning,26,30
2882,examine,26,30
2883,honest,26,27
2884,drink,26,25
2885,rooms,26,24
2886,viability,26,22
2887,master,26,22
2888,emphasizing,26,19
2889,endorsed,26,19
2890,felt,26,19
2891,coordinating,26,19
2892,steadfast,26,18
2893,maps,26,18
2894,implements,26,18
2895,overcome,26,18
2896,outdoor,26,18
2897,upgraded,26,18
2898,kicked,26,17
2899,preventative,26,17
2900,theft,26,17
2901,harnessing,26,17
2902,responds,26,17
2903,employing,26,17
2904,reimagine,26,17
2905,greatly,26,17
2906,someone,26,17
2907,competitiveness,26,16
2908,attractive,26,16
2909,questionnaires,26,15
2910,descriptions,26,15
2911,drove,26,15
2912,subcontractors,26,15
2913,instructions,26,15
2914,endangered,26,14
2915,suitable,26,14
2916,nitrous,26,14
2917,authorization,26,14
2918,exceeds,26,14
2919,landscapes,26,14
2920,erosion,26,13
2921,traveled,26,13
2922,nutritional,26,13
2923,traceable,26,13
2924,gloves,26,12
2925,symptoms,26,12
2926,attestation,26,12
2927,droughts,26,12
2928,anxiety,26,11
2929,decarbonized,26,11
2930,examination,26,11
2931,breakthroughs,26,11
2932,australian,26,10
2933,tide,26,9
2934,investigators,26,9
2935,fcpa,26,9
2936,clinicians,26,9
2937,segregated,26,8
2938,polyethylene,26,6
2939,oregon,26,6
2940,regimen,26,4
2941,subsector,26,3
2942,sheq,26,1
2943,try,25,65
2944,closures,25,65
2945,rated,25,65
2946,fun,25,64
2947,dual,25,62
2948,lgbt,25,51
2949,pg,25,50
2950,screen,25,50
2951,soft,25,50
2952,drop,25,40
2953,compete,25,39
2954,conform,25,34
2955,pioneer,25,34
2956,compost,25,34
2957,theme,25,32
2958,turning,25,30
2959,grades,25,28
2960,complaint,25,26
2961,thoughtful,25,26
2962,fueled,25,24
2963,faces,25,24
2964,congress,25,22
2965,undertaking,25,21
2966,progressive,25,20
2967,unnecessary,25,20
2968,incentivize,25,20
2969,assisting,25,19
2970,modes,25,19
2971,unlocking,25,19
2972,transformed,25,19
2973,loyalty,25,19
2974,twin,25,19
2975,gay,25,19
2976,differently,25,19
2977,advisors,25,18
2978,seamlessly,25,18
2979,biases,25,17
2980,protections,25,17
2981,complies,25,17
2982,pioneered,25,17
2983,bureau,25,17
2984,transferred,25,16
2985,cooperative,25,16
2986,concentration,25,16
2987,summarizes,25,16
2988,inflation,25,16
2989,resolved,25,16
2990,desired,25,15
2991,cdc,25,15
2992,controlling,25,15
2993,performs,25,15
2994,brighter,25,15
2995,biogenic,25,15
2996,sending,25,14
2997,repairs,25,14
2998,egypt,25,13
2999,equitably,25,13
3000,transitional,25,13
3001,pledges,25,13
3002,mathematics,25,13
3003,congressional,25,12
3004,capitalism,25,12
3005,variables,25,12
3006,packs,25,12
3007,diluted,25,12
3008,alaskan,25,11
3009,deaths,25,11
3010,condensate,25,11
3011,corrugated,25,10
3012,medication,25,10
3013,arabia,25,10
3014,heroes,25,10
3015,explicitly,25,10
3016,cso,25,9
3017,caucus,25,9
3018,telecommunications,25,9
3019,dart,25,9
3020,roadmaps,25,8
3021,switched,25,8
3022,jv,25,7
3023,drc,25,7
3024,smeta,25,6
3025,byproducts,25,6
3026,svc,25,3
3027,fmc,25,1
3028,pa,24,66
3029,ct,24,66
3030,prove,24,65
3031,owner,24,57
3032,corrupt,24,47
3033,jurisdiction,24,35
3034,spot,24,33
3035,bag,24,33
3036,graduate,24,31
3037,finish,24,30
3038,eap,24,29
3039,meal,24,29
3040,rose,24,26
3041,wait,24,24
3042,cornerstone,24,21
3043,wanted,24,21
3044,weekly,24,21
3045,lending,24,20
3046,challenged,24,20
3047,directive,24,19
3048,eligibility,24,18
3049,prospective,24,18
3050,vibrant,24,18
3051,doors,24,18
3052,coordinates,24,18
3053,democratic,24,17
3054,catastrophic,24,17
3055,enrollment,24,17
3056,epeat,24,17
3057,filter,24,17
3058,infection,24,17
3059,southern,24,17
3060,contamination,24,16
3061,organisation,24,16
3062,adversely,24,16
3063,modernize,24,16
3064,phases,24,16
3065,disciplined,24,16
3066,discusses,24,16
3067,magnitude,24,15
3068,hexafluoride,24,15
3069,guest,24,15
3070,strictly,24,15
3071,inequity,24,15
3072,prohibited,24,15
3073,insider,24,15
3074,touche,24,14
3075,cameras,24,14
3076,aspirational,24,14
3077,massive,24,14
3078,formulated,24,14
3079,likewise,24,14
3080,indicating,24,14
3081,posts,24,13
3082,museum,24,13
3083,errors,24,13
3084,supplemental,24,13
3085,originally,24,13
3086,massachusetts,24,13
3087,preventable,24,13
3088,temporarily,24,12
3089,overtime,24,12
3090,enduring,24,12
3091,abuses,24,12
3092,ranges,24,11
3093,promotional,24,11
3094,atmospheric,24,11
3095,hungary,24,11
3096,unicef,24,11
3097,biotech,24,11
3098,hearing,24,11
3099,howard,24,10
3100,lcas,24,10
3101,isae,24,10
3102,respondents,24,10
3103,tutoring,24,10
3104,quantities,24,10
3105,davis,24,10
3106,interior,24,9
3107,byproduct,24,8
3108,seawater,24,8
3109,guatemala,24,8
3110,contactless,24,8
3111,refurbished,24,8
3112,creators,24,8
3113,spray,24,8
3114,infections,24,8
3115,dietary,24,7
3116,ammonia,24,7
3117,shoes,24,6
3118,cleaners,24,6
3119,triage,24,5
3120,vanilla,24,3
3121,juice,24,3
3122,homer,24,1
3123,elccf,24,1
3124,smbs,24,1
3125,di,23,66
3126,ag,23,66
3127,pm,23,66
3128,pact,23,66
3129,format,23,66
3130,art,23,66
3131,aged,23,64
3132,lay,23,63
3133,eld,23,62
3134,graphic,23,54
3135,eei,23,52
3136,kit,23,45
3137,liability,23,41
3138,nationally,23,40
3139,rental,23,38
3140,layer,23,35
3141,hq,23,28
3142,streamline,23,27
3143,winner,23,27
3144,seamless,23,27
3145,patent,23,22
3146,pump,23,22
3147,wholly,23,20
3148,escalation,23,19
3149,transfers,23,19
3150,proudly,23,18
3151,scoring,23,18
3152,causing,23,17
3153,reading,23,17
3154,approves,23,17
3155,varied,23,17
3156,grassroots,23,17
3157,sells,23,16
3158,inspiration,23,16
3159,mutually,23,16
3160,columbia,23,16
3161,unauthorized,23,16
3162,reinvent,23,15
3163,curve,23,15
3164,fruit,23,15
3165,george,23,15
3166,diligently,23,15
3167,simplified,23,15
3168,religion,23,15
3169,refreshment,23,15
3170,critically,23,15
3171,adds,23,15
3172,parameters,23,15
3173,zealand,23,14
3174,linking,23,14
3175,talking,23,14
3176,navigating,23,14
3177,recognitions,23,14
3178,inclusiveness,23,14
3179,upward,23,14
3180,avenues,23,14
3181,hardships,23,14
3182,modeled,23,14
3183,footnote,23,14
3184,considerable,23,14
3185,predominantly,23,14
3186,automatically,23,13
3187,messages,23,13
3188,notices,23,13
3189,exclusion,23,13
3190,emails,23,13
3191,complemented,23,13
3192,british,23,12
3193,applicants,23,12
3194,classifications,23,12
3195,disposable,23,12
3196,misuse,23,12
3197,images,23,11
3198,toxicology,23,11
3199,hong,23,10
3200,israel,23,10
3201,footnotes,23,10
3202,takeback,23,9
3203,pci,23,9
3204,menu,23,9
3205,shields,23,8
3206,polystyrene,23,8
3207,abra,23,8
3208,nourish,23,8
3209,saudi,23,8
3210,films,23,8
3211,brg,23,7
3212,excise,23,6
3213,travelers,23,6
3214,investigational,23,5
3215,maternal,23,5
3216,toxicological,23,5
3217,antimicrobial,23,5
3218,dyeing,23,4
3219,cgf,23,2
3220,src,23,1
3221,fairlife,23,1
3222,bayway,23,1
3223,pretzels,23,1
3224,opdivoª,23,1
3225,norwich,23,1
3226,tccc,23,1
3227,let,22,66
3228,env,22,66
3229,tr,22,66
3230,dust,22,65
3231,press,22,62
3232,lies,22,61
3233,gm,22,57
3234,arts,22,57
3235,hit,22,57
3236,nb,22,56
3237,flex,22,54
3238,hundred,22,47
3239,rigor,22,45
3240,wave,22,40
3241,trace,22,33
3242,proposal,22,31
3243,supervisor,22,29
3244,discount,22,26
3245,correspond,22,26
3246,lifestyle,22,21
3247,articles,22,21
3248,anything,22,21
3249,indication,22,20
3250,vacation,22,20
3251,eventually,22,19
3252,boosting,22,19
3253,sustaining,22,19
3254,iot,22,19
3255,lesbian,22,18
3256,diverting,22,17
3257,incredible,22,17
3258,notification,22,17
3259,qualifying,22,17
3260,dependents,22,17
3261,tasked,22,16
3262,messaging,22,16
3263,exciting,22,16
3264,mandated,22,16
3265,blocks,22,16
3266,stepped,22,15
3267,laid,22,15
3268,grand,22,15
3269,deployments,22,15
3270,estimating,22,15
3271,affects,22,15
3272,pivotal,22,15
3273,franchises,22,15
3274,teamed,22,15
3275,accessed,22,15
3276,furniture,22,14
3277,profound,22,14
3278,adjacent,22,14
3279,sanctions,22,14
3280,receipt,22,14
3281,comprising,22,14
3282,incredibly,22,14
3283,harmonized,22,14
3284,competency,22,14
3285,functionality,22,13
3286,sleep,22,13
3287,attendees,22,13
3288,excessive,22,13
3289,publications,22,13
3290,minimization,22,13
3291,identities,22,13
3292,curated,22,12
3293,penalties,22,12
3294,licenses,22,12
3295,outbreaks,22,11
3296,coaches,22,11
3297,invoices,22,11
3298,biodegradable,22,11
3299,beach,22,10
3300,mortality,22,9
3301,impairment,22,8
3302,kong,22,8
3303,precious,22,8
3304,organisms,22,8
3305,academies,22,7
3306,assuring,22,7
3307,laundry,22,7
3308,michelle,22,6
3309,cartons,22,6
3310,hcps,22,5
3311,dupont,22,3
3312,decency,22,2
3313,cannabis,22,2
3314,obstetric,22,1
3315,infosec,22,1
3316,seaweed,22,1
3317,spdc,22,1
3318,fraunhofer,22,1
3319,biscuits,22,1
3320,est,21,66
3321,king,21,66
3322,cco,21,66
3323,rme,21,63
3324,oh,21,57
3325,rank,21,55
3326,motion,21,53
3327,dc,21,49
3328,sex,21,43
3329,sort,21,42
3330,scientist,21,34
3331,stands,21,34
3332,else,21,32
3333,walk,21,30
3334,got,21,28
3335,cans,21,26
3336,loan,21,25
3337,dealing,21,23
3338,journal,21,20
3339,interruption,21,19
3340,fish,21,19
3341,reserves,21,19
3342,advantages,21,19
3343,buses,21,18
3344,translated,21,18
3345,wake,21,18
3346,threatened,21,18
3347,garden,21,18
3348,believed,21,17
3349,incorporation,21,17
3350,multinational,21,17
3351,localized,21,17
3352,english,21,17
3353,recharge,21,16
3354,trash,21,16
3355,underpins,21,16
3356,names,21,16
3357,feels,21,16
3358,progressing,21,15
3359,averages,21,15
3360,perceived,21,15
3361,pure,21,15
3362,unexpected,21,15
3363,happens,21,15
3364,damaged,21,15
3365,failures,21,14
3366,handled,21,14
3367,waterways,21,14
3368,sensitivity,21,14
3369,leaving,21,14
3370,debate,21,14
3371,fundamentally,21,14
3372,payroll,21,14
3373,progression,21,13
3374,influencing,21,13
3375,fatigue,21,13
3376,screenings,21,13
3377,computers,21,13
3378,concentrated,21,12
3379,conservative,21,12
3380,rcp,21,12
3381,determines,21,12
3382,premier,21,11
3383,variability,21,11
3384,formats,21,11
3385,probability,21,10
3386,army,21,10
3387,philadelphia,21,10
3388,clothes,21,10
3389,purposefully,21,9
3390,counterfeiting,21,9
3391,settlements,21,9
3392,imagery,21,9
3393,fw,21,9
3394,tape,21,9
3395,surplus,21,9
3396,stormwater,21,9
3397,false,21,9
3398,assortment,21,8
3399,ifc,21,8
3400,brgs,21,7
3401,tanzania,21,7
3402,smartway,21,6
3403,pollinators,21,6
3404,ungps,21,5
3405,fertilizers,21,5
3406,tpi,21,4
3407,nonconformities,21,4
3408,hydration,21,4
3409,calories,21,4
3410,passengers,21,4
3411,lily,21,2
3412,zdhc,21,2
3413,fertin,21,1
3414,kayak,21,1
3415,ecodemonstrator,21,1
3416,ny,20,66
3417,ran,20,66
3418,war,20,66
3419,cc,20,66
3420,sight,20,64
3421,lti,20,64
3422,parent,20,61
3423,graph,20,58
3424,uncertain,20,54
3425,forming,20,53
3426,claim,20,51
3427,excel,20,51
3428,sms,20,51
3429,meter,20,48
3430,reserve,20,45
3431,turned,20,42
3432,pain,20,40
3433,neighbor,20,36
3434,translate,20,34
3435,girl,20,33
3436,demographic,20,33
3437,qualification,20,32
3438,usual,20,32
3439,consequence,20,30
3440,books,20,25
3441,template,20,24
3442,mixed,20,22
3443,supporter,20,21
3444,vap,20,21
3445,peace,20,21
3446,gone,20,21
3447,hris,20,20
3448,constitute,20,20
3449,amid,20,19
3450,necessarily,20,18
3451,anchor,20,18
3452,seal,20,17
3453,triple,20,17
3454,particulate,20,17
3455,minimizes,20,16
3456,meaningfully,20,16
3457,implied,20,16
3458,unlike,20,16
3459,suspended,20,16
3460,teamwork,20,15
3461,tracing,20,15
3462,designation,20,15
3463,firmly,20,15
3464,scorecards,20,15
3465,burning,20,14
3466,alumni,20,14
3467,bonuses,20,14
3468,illustrates,20,14
3469,reliably,20,14
3470,communicates,20,14
3471,command,20,14
3472,timelines,20,14
3473,persistent,20,14
3474,aids,20,14
3475,compassion,20,14
3476,runoff,20,14
3477,accessing,20,14
3478,realities,20,13
3479,immersive,20,13
3480,portfolios,20,13
3481,attending,20,13
3482,imaging,20,13
3483,onset,20,13
3484,professionally,20,13
3485,exploitation,20,13
3486,halls,20,13
3487,brain,20,12
3488,expensive,20,12
3489,culturally,20,12
3490,algorithms,20,12
3491,haiti,20,11
3492,deepened,20,11
3493,charts,20,11
3494,acumen,20,11
3495,amplifying,20,11
3496,beneficiaries,20,11
3497,pressures,20,11
3498,players,20,11
3499,wholesale,20,11
3500,longevity,20,11
3501,outlets,20,10
3502,toughest,20,10
3503,restructuring,20,10
3504,aquatic,20,10
3505,delegated,20,10
3506,variants,20,10
3507,capex,20,10
3508,granular,20,10
3509,jim,20,9
3510,aggregation,20,9
3511,biology,20,9
3512,collision,20,8
3513,msci,20,8
3514,mississippi,20,8
3515,seeds,20,8
3516,taxation,20,8
3517,uptake,20,8
3518,molecular,20,8
3519,stressors,20,8
3520,austin,20,7
3521,sierra,20,7
3522,nursing,20,7
3523,disassembly,20,7
3524,flying,20,7
3525,formulas,20,7
3526,collisions,20,6
3527,cgmp,20,6
3528,anticorruption,20,6
3529,genetically,20,6
3530,madison,20,5
3531,hcc,20,5
3532,paints,20,5
3533,cracker,20,4
3534,enterprisewide,20,4
3535,drinks,20,3
3536,metastatic,20,3
3537,epidemics,20,2
3538,blindness,20,2
3539,hsse,20,2
3540,schizophrenia,20,2
3541,cceo,20,1
3542,tanami,20,1
3543,bagdad,20,1
3544,le,19,66
3545,missions,19,66
3546,se,19,66
3547,ta,19,66
3548,mini,19,65
3549,gets,19,64
3550,ods,19,63
3551,hom,19,61
3552,rsp,19,58
3553,construct,19,56
3554,institution,19,53
3555,nist,19,53
3556,quick,19,52
3557,counts,19,49
3558,mined,19,49
3559,guard,19,48
3560,micro,19,46
3561,acquire,19,44
3562,gaining,19,44
3563,counter,19,41
3564,initiate,19,40
3565,tailor,19,38
3566,block,19,36
3567,motivate,19,34
3568,adjustment,19,33
3569,breach,19,33
3570,container,19,30
3571,breaking,19,27
3572,night,19,25
3573,advise,19,23
3574,trains,19,22
3575,layers,19,22
3576,avenue,19,21
3577,window,19,19
3578,compromise,19,19
3579,overlap,19,18
3580,carrying,19,18
3581,activated,19,17
3582,wetland,19,17
3583,honors,19,16
3584,telephone,19,16
3585,apprenticeship,19,16
3586,criminal,19,16
3587,competitors,19,16
3588,phones,19,16
3589,assisted,19,15
3590,scheduling,19,15
3591,ranks,19,15
3592,merit,19,15
3593,anticipates,19,15
3594,transitions,19,15
3595,strongest,19,15
3596,tablet,19,15
3597,ozone,19,15
3598,clauses,19,14
3599,cooking,19,14
3600,nurturing,19,14
3601,consultations,19,14
3602,abide,19,14
3603,seventh,19,14
3604,devastating,19,14
3605,unethical,19,14
3606,village,19,14
3607,ethanol,19,14
3608,vpp,19,14
3609,hotel,19,13
3610,migration,19,13
3611,raises,19,13
3612,bisexual,19,13
3613,grace,19,13
3614,competence,19,12
3615,recommends,19,12
3616,characterized,19,12
3617,games,19,12
3618,leaves,19,12
3619,examined,19,12
3620,achievable,19,12
3621,practitioners,19,12
3622,papers,19,12
3623,vaccinated,19,12
3624,finite,19,12
3625,eradicate,19,11
3626,shade,19,11
3627,advocated,19,11
3628,newest,19,11
3629,bespoke,19,11
3630,intermediaries,19,11
3631,designers,19,10
3632,authenticity,19,10
3633,desktop,19,10
3634,naacp,19,10
3635,harvested,19,10
3636,revealed,19,10
3637,diagnosed,19,10
3638,comparing,19,10
3639,negro,19,9
3640,makeup,19,9
3641,french,19,9
3642,readers,19,9
3643,circulate,19,8
3644,bronze,19,8
3645,welding,19,8
3646,employability,19,8
3647,sponsorships,19,8
3648,hsis,19,7
3649,favorability,19,7
3650,composite,19,7
3651,females,19,7
3652,precisely,19,7
3653,edison,19,7
3654,curbside,19,7
3655,upcycled,19,6
3656,khan,19,6
3657,uzbekistan,19,6
3658,occupied,19,6
3659,cellulose,19,6
3660,proteins,19,5
3661,oneten,19,5
3662,preserved,19,5
3663,briefs,19,5
3664,decommissioned,19,5
3665,tuberculosis,19,5
3666,dealer,19,5
3667,carolinas,19,5
3668,commercialized,19,5
3669,gfsi,19,4
3670,epds,19,4
3671,multiline,19,4
3672,ncgc,19,3
3673,fremont,19,2
3674,hqs,19,2
3675,leukemia,19,2
3676,freestyle,19,2
3677,perth,19,1
3678,swepco,19,1
3679,vectura,19,1
3680,développement,19,1
3681,celgene,19,1
3682,parentheses,19,1
3683,es,18,66
3684,climat,18,66
3685,te,18,66
3686,ec,18,66
3687,ix,18,65
3688,stake,18,64
3689,eating,18,62
3690,ships,18,62
3691,dates,18,61
3692,prefer,18,49
3693,super,18,48
3694,recommendation,18,48
3695,sits,18,36
3696,expression,18,34
3697,wall,18,33
3698,passes,18,30
3699,redesign,18,30
3700,style,18,30
3701,lots,18,29
3702,webinar,18,25
3703,earthquake,18,24
3704,loads,18,24
3705,scheme,18,23
3706,length,18,22
3707,listing,18,22
3708,assignment,18,21
3709,teacher,18,20
3710,reader,18,19
3711,halt,18,19
3712,sick,18,19
3713,wish,18,18
3714,outbreak,18,18
3715,correction,18,17
3716,gauge,18,17
3717,solvent,18,16
3718,forge,18,16
3719,confirming,18,16
3720,possibility,18,16
3721,wants,18,16
3722,brazilian,18,15
3723,settlement,18,15
3724,butt,18,15
3725,isolation,18,15
3726,intentionally,18,15
3727,hosts,18,15
3728,nurture,18,15
3729,remediated,18,14
3730,distributing,18,14
3731,emerged,18,14
3732,assistant,18,14
3733,satisfy,18,14
3734,jose,18,14
3735,benefited,18,14
3736,favorite,18,14
3737,ensured,18,14
3738,upcoming,18,13
3739,transporting,18,13
3740,multicultural,18,13
3741,relentless,18,13
3742,holistically,18,13
3743,backbone,18,13
3744,recalled,18,13
3745,embraced,18,13
3746,helpful,18,13
3747,shield,18,13
3748,adheres,18,13
3749,manufactures,18,13
3750,legitimate,18,13
3751,invasive,18,12
3752,brightest,18,12
3753,registrations,18,12
3754,injection,18,12
3755,longtime,18,12
3756,harvard,18,12
3757,headquartered,18,12
3758,counties,18,11
3759,displays,18,11
3760,ignite,18,11
3761,czech,18,11
3762,payout,18,11
3763,preliminary,18,11
3764,concluded,18,11
3765,joins,18,11
3766,intensities,18,11
3767,sellers,18,11
3768,greece,18,10
3769,adaptive,18,10
3770,sds,18,10
3771,outputs,18,10
3772,remarkable,18,10
3773,pregnancy,18,10
3774,hydropower,18,10
3775,digitization,18,10
3776,blog,18,10
3777,deepening,18,10
3778,progressed,18,9
3779,exactly,18,9
3780,repaired,18,9
3781,mileage,18,9
3782,badge,18,9
3783,relevancy,18,9
3784,degraded,18,9
3785,intervals,18,9
3786,quantification,18,9
3787,wine,18,9
3788,estimations,18,9
3789,seedlings,18,8
3790,immaterial,18,8
3791,burnout,18,8
3792,monoxide,18,8
3793,payers,18,8
3794,multiplying,18,7
3795,gwps,18,7
3796,malaria,18,6
3797,victims,18,6
3798,aicpa,18,6
3799,trustworthy,18,6
3800,ukrainian,18,6
3801,workloads,18,5
3802,suicide,18,5
3803,sabotage,18,5
3804,lumber,18,5
3805,resins,18,5
3806,straws,18,4
3807,firewood,18,4
3808,arkansas,18,4
3809,pfs,18,3
3810,colocation,18,3
3811,malawi,18,3
3812,args,18,3
3813,paso,18,2
3814,surgeons,18,1
3815,yamagata,18,1
3816,terneuzen,18,1
3817,bus,17,66
3818,era,17,66
3819,ap,17,66
3820,renew,17,65
3821,van,17,65
3822,ict,17,63
3823,proved,17,62
3824,coo,17,60
3825,dedicate,17,56
3826,maker,17,55
3827,valid,17,52
3828,arab,17,49
3829,candid,17,49
3830,invent,17,48
3831,wild,17,47
